Sales Month,Primary Platform (Original),Secondary Platform,Store Name,Brand Name,Product Code,Sales Amount,Sales Quantity,Primary Platform
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,599139133569,3100.0,12,Tmall
2021-01,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,599139133569,962.0,4,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,604203421168,4024.0,31,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,599458568020,4013.0,13,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,574608598138,3987.0,3,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,601294018881,2647.0,47,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,601294018881,1013.0,18,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,601294018881,263.0,7,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,576136416114,3813.0,10,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,600405212079,1624.0,98,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,600405212079,1363.0,82,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,600405212079,784.0,47,Tmall
2021-01,天猫,天猫超市,郎酒天猫超市,郎酒,606333111645,2907.0,44,Tmall
2021-02,天猫,天猫超市,郎酒天猫超市,郎酒,606333111645,642.0,10,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,606333111645,210.0,3,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,630115775820,3376.0,29,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,630115775820,244.0,2,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,599556181323,3610.0,18,Tmall
2021-01,天猫,天猫超市,西凤天猫超市,西凤,601093229236,3565.0,12,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,599334798149,1821.0,21,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,599334798149,1328.0,36,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,599334798149,409.0,5,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,601029519075,2200.0,17,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,601029519075,725.0,6,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,601029519075,523.0,4,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,601538200672,3332.0,17,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,586805763466,3248.0,5,Tmall
2021-01,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,539154193454,3165.0,13,Tmall
2021-01,天猫,天猫超市,红星天猫超市,红星,560796460750,1404.0,204,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,560796460750,1068.0,156,Tmall
2021-02,天猫,天猫超市,红星天猫超市,红星,560796460750,595.0,86,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,609192021939,3023.0,21,Tmall
2021-03,天猫,天猫超市,西凤天猫超市,西凤,574886095876,3017.0,6,Tmall
2021-03,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,607085538405,2104.0,9,Tmall
2021-02,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,607085538405,908.0,4,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,569221477025,2930.0,15,Tmall
