Sales Month,Primary Platform (Original),Secondary Platform,Store Name,Brand Name,Product Code,Sales Amount,Sales Quantity,Primary Platform
2021-04,抖音,抖音店铺,匠人酒业酒类专营店,郑酒师,3471890867437053868,966902.0,5755,Douyin
2021-04,抖音,抖音店铺,海通酒业酒类专营店,其他,3472854808447325655,56499.0,5707,Douyin
2021-04,抖音,抖音店铺,酒仙网卖场旗舰店,五粮液,3475995437029314350,140675.0,5627,Douyin
2021-04,抖音,抖音店铺,鸿之睿酒水专营店,其他,3476579979821752196,634803.0,5424,Douyin
2021-04,抖音,抖音店铺,sanliang旗舰店,其他,3453019539074321836,457551.0,5375,Douyin
2021-04,抖音,抖音店铺,汾酒旗舰店,汾酒,3469860198401859940,1541388.0,5374,Douyin
2021-04,抖音,抖音店铺,华淳酒业白酒专营店,五粮液,3471144187397819924,133929.0,5171,Douyin
2021-04,抖音,抖音店铺,醉仙网酒类专营店,其他,3473609077660236448,102107.0,5131,Douyin
2021-04,抖音,抖音店铺,华淳酒业白酒专营店,其他,3475782816820809306,101769.0,5114,Douyin
2021-04,抖音,抖音店铺,古井贡酒官方旗舰店,其他,3474724848104782690,352112.0,5088,Douyin
2021-04,抖音,抖音店铺,汾洋酒类专营店,杜康,3467681601884939729,204919.0,5080,Douyin
2021-04,抖音,抖音店铺,汾酒官方旗舰店,汾酒,3465332166718790318,2368080.0,5060,Douyin
2021-04,抖音,抖音店铺,购酒网卖场店,茅台,3472138130860201689,12021390.0,5011,Douyin
2021-04,抖音,抖音店铺,申泉泳酒类专营店,其他,3468845832361648031,347193.0,4988,Douyin
2021-04,抖音,抖音店铺,莲塘官方旗舰店,莲塘,3437982675397424245,674958.0,4891,Douyin
2021-04,抖音,抖音店铺,玖玖酒类专营店,其他,3476017502373469692,48154.0,4864,Douyin
2021-04,抖音,抖音店铺,滴藏酒专卖店,其他,3455786872536714573,143939.0,4814,Douyin
2021-04,抖音,抖音店铺,中原食品专营店,其他,3469887033231692301,67357.0,4785,Douyin
2021-04,抖音,抖音店铺,加喜酒类专营店,汾杏,3472131198959144172,47035.0,4751,Douyin
2021-04,抖音,抖音店铺,酒醇酒水专营店,杜康,3470878719739067667,608880.0,4720,Douyin
2021-04,抖音,抖音店铺,玖玖酒类专营店,茅台,3472856131272049641,934164.0,4718,Douyin
2021-04,抖音,抖音店铺,滴藏酒专卖店,其他,3474145972328780565,140201.0,4689,Douyin
2021-04,抖音,抖音店铺,金沙古酒类旗舰店,金沙,3470434740371364854,321816.0,4664,Douyin
2021-04,抖音,抖音店铺,购酒网卖场旗舰店,五粮液,3472161789830144317,654968.0,4658,Douyin
2021-04,抖音,抖音店铺,华淳酒业白酒专营店,其他,3475782400208967439,91786.0,4613,Douyin
2021-04,抖音,抖音店铺,玖到家酒类专营店,金六福,3472828259182481582,1221812.0,4559,Douyin
2021-04,抖音,抖音店铺,金裕皖,金裕皖,3468398998895890599,89769.0,4511,Douyin
