Store Type_Flagship,Store Type_Mall Flagship,Store Type_Mall Store,Store Type_Official Flagship,Store Type_Other,Store Type_Specialty Store,Brand Name Encoded,is_top,Sales Month_2021-04,Sales Month_2021-05,Sales Month_2021-06,Sales Month_2021-07,Sales Month_2021-08,Sales Month_2021-09,Sales Month_2021-10,Sales Month_2021-11,Sales Month_2021-12,is_promote,Sales Lag 1,Sales Lag 2,Sales Lag 3,Sales Rolling Mean,Sales Quantity
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,True,False,False,0,2386.0,3350.0,447.0,2679.6666666666665,2303
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,True,False,False,0,2303.0,2386.0,3350.0,1761.6666666666667,596
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,596.0,2303.0,2386.0,2281.6666666666665,3946
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,3946.0,596.0,2303.0,2140.0,1878
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,1878.0,3946.0,596.0,2472.0,1592
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,1592.0,1878.0,3946.0,1657.6666666666667,1503
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,1503.0,1592.0,1878.0,1393.6666666666667,1086
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,1086.0,1503.0,1592.0,1148.0,855
0.0,1.0,0.0,0.0,0.0,0.0,1838.7006480558325,1,False,False,False,False,False,False,False,True,False,1,855.0,1086.0,1503.0,919.6666666666666,818
0.0,1.0,0.0,0.0,0.0,0.0,954.4255319161668,0,False,True,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,140
0.0,1.0,0.0,0.0,0.0,0.0,954.4255319161668,0,False,False,False,False,False,False,False,False,True,1,140.0,0.0,0.0,0.0,2144
0.0,1.0,0.0,0.0,0.0,0.0,1631.769898329767,0,False,False,False,False,False,False,False,False,True,1,0.0,0.0,0.0,0.0,1037
0.0,1.0,0.0,0.0,0.0,0.0,864.4142857142857,0,False,False,True,False,False,False,False,False,False,1,0.0,0.0,0.0,0.0,304
0.0,1.0,0.0,0.0,0.0,0.0,864.4142857142857,0,False,False,True,False,False,False,False,False,False,1,304.0,0.0,0.0,0.0,225
0.0,1.0,0.0,0.0,0.0,0.0,568.4186047602856,0,False,False,False,False,False,False,True,False,False,0,0.0,0.0,0.0,0.0,917
0.0,1.0,0.0,0.0,0.0,0.0,568.4186047602856,0,False,False,False,False,False,False,False,True,False,1,917.0,0.0,0.0,0.0,551
0.0,1.0,0.0,0.0,0.0,0.0,1340.7175572519084,0,False,False,False,False,False,True,False,False,False,1,0.0,0.0,0.0,0.0,3515
0.0,1.0,0.0,0.0,0.0,0.0,1340.7175572519084,0,False,False,False,False,False,False,True,False,False,0,3515.0,0.0,0.0,0.0,2753
0.0,1.0,0.0,0.0,0.0,0.0,1340.7175572519084,0,False,False,False,False,False,False,True,False,False,0,2753.0,3515.0,0.0,2834.0,2234
0.0,1.0,0.0,0.0,0.0,0.0,1387.2822719449225,1,True,False,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,576
0.0,1.0,0.0,0.0,0.0,0.0,1318.4189723320158,0,False,False,True,False,False,False,False,False,False,1,0.0,0.0,0.0,0.0,612
